NBN Atlas record ID,Occurrence ID,Licence,Rightsholder,Scientific name,Taxon author,Name qualifier,Common name,Species ID (TVK),Taxon Rank,Occurrence status,Start date,Start date day,Start date month,Start date year,End date,End date day,End date month,End date year,Locality,OSGR,Latitude (WGS84),Longitude (WGS84),Coordinate uncertainty (m),Verbatim depth,Recorder,Determiner,Individual count,Abundance,Abundance scale,Organism scope,Organism remarks,Sex,Life stage,Occurrence remarks,Identification verification status,Basis of record,Survey key,Dataset name,Dataset ID,Data provider,Data provider ID,Institution code,Kingdom,Phylum,Class,Order,Family,Genus,OSGR 100km,OSGR 10km,OSGR 2km,OSGR 1km,Country,State/Province,Vitality
046efe36-153a-481a-8678-61d9d49631cc,36506417,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,18/06/2024,18,06,2024,,,,,"Lathom, Ormskirk, England, GB",SD4512,53.603959200800006,-2.824632452,113,,Graham Clarkson,,,,,,,,,,Accepted - correct,HumanObservation,iNaturalist | UK and IOM data,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,SD,SD41,SD41L,SD4512,United Kingdom,England,
00cd6b12-f90a-47d5-9098-4f119506b4c0,36568250,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,21/06/2024,21,06,2024,,,,,Bwlch y Sarnau,SO031774,52.386320000000005,-3.42517,32,,"Leafe, Paul",,1,,,,,,,,Accepted - correct,HumanObservation,iRecord | LERC Wales,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,SO,SO07,SO07I,SO0377,United Kingdom,Wales,
fef76c30-e403-4921-bb84-14ee61e2b380,35972406,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,17/05/2024,17,05,2024,,,,,"Burscough, Ormskirk, England, GB",SD4214,53.627030099799995,-2.872794345,204,,Graham Clarkson,,,,,,,,,,Accepted - correct,HumanObservation,iNaturalist | UK and IOM data,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,SD,SD41,SD41H,SD4214,United Kingdom,England,
fd1a60af-d1bc-4d22-9e65-c2347e40fd18,35751330,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,05/05/2024,05,05,2024,,,,,"Nr Delves Lane, Nelson, Lancashire",SD88653696,53.828810000000004,-2.17384,5,,Jack Driver,,2–5,,,,,,,,Accepted - correct,HumanObservation,iRecord | App,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,SD,SD83,SD83Y,SD8836,United Kingdom,England,
ee4abb67-9f75-449e-b659-78e153de07bb,36166966,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,27/05/2024,27,05,2024,,,,,Near painscastle,SO133456,52.10260999999999,-3.26656,32,,"Leafe, Paul",,1,,,,,,,,Accepted - correct,HumanObservation,iRecord | LERC Wales,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,SO,SO14,SO14H,SO1345,United Kingdom,Wales,
ebc5941d-5151-43b5-9076-f3137c78d702,36166991,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,29/05/2024,29,05,2024,,,,,David's Well,SO073781,52.39345,-3.36336,32,,"Leafe, Paul",,1,,,,,,,,Accepted - correct,HumanObservation,iRecord | LERC Wales,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,SO,SO07,SO07U,SO0778,United Kingdom,Wales,
e68acb8e-e2a3-49b2-8e4f-266a6176363d,36211161,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,24/05/2024,24,05,2024,,,,,Brund,SK101620,53.15529000000001,-1.85,50,,Nick Mott,,1,,,,,,adult,,Accepted - correct,HumanObservation,iRecord | App,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,SK,SK16,SK16B,SK1062,United Kingdom,England,
df139730-6c66-475d-978b-fa902a44e469,36116204,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,26/05/2024,26,05,2024,,,,,"Ae, Dumfries and Galloway, Scotland, United Kingdom",NX982901,55.19484,-3.59979,46,,Rebecca Field,,1,,,,,,pre-adult,Ae-Naze car park evening. Stayed eating at various points in the car park for a couple of hours.,Accepted - correct,HumanObservation,iRecord | App,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,NX,NX99,NX99V,NX9890,United Kingdom,Scotland,
de62a127-ec2f-49c0-80b3-9bc7d5618e5f,36131933,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,27/05/2024,27,05,2024,,,,,"Minster on Sea, UK",TQ929702,51.39855002,0.7727196725000001,15,,daveeatsbiscuits,,,,,,,,,,Accepted - correct,HumanObservation,iNaturalist | UK and IOM data,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,TQ,TQ97,TQ97F,TQ9270,United Kingdom,England,
dcb1096f-9130-4cbb-962a-2cfe92bce757,36166965,CC-BY-NC,The Mammal Society and Biological Records Centre,Lepus europaeus,"Pallas, 1778",,Brown Hare,NHMSYS0000080218,species,present,17/05/2024,17,05,2024,,,,,Pantydwr,SN978763,52.37528,-3.5013,24,,"Leafe, Paul",,1,,,,,,,,Accepted - correct,HumanObservation,iRecord | LERC Wales,"National Mammal Atlas Project, online recording",dr671,Mammal Society,dp8,,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,SN,SN97,SN97T,SN9776,United Kingdom,Wales,
